ULN,AccountId,fromDate,toDate,Nino
9010000000,1,06/03/2014,05/04/2014,AA123456A
9010110701,2,06/03/2014,05/04/2015,AA123456A
9000001004,3,01/05/2016,01/11/2016,AA123456A
9000142805,103354,01/09/2015,01/10/2015,LJ000000A
9010110701,103380,06/03/2014,05/04/2014,LJ000000A
9004292305,103398,06/03/2016,05/04/2016,LJ000000A
9010110604,103435,06/03/2014,05/04/2014,LJ000000A
9010000000,103436,06/03/2016,05/04/2016,LJ000000A
9010110701,103452,06/03/2014,05/04/2014,LJ000000A
9000001004,103456,06/03/2016,05/04/2016,LJ000000A
9000142805,103475,06/03/2014,05/04/2014,LJ000000A
9010110701,103484,06/03/2016,05/04/2016,LJ000000A
9004292305,103493,06/03/2015,05/04/2015,LJ000000A
9010110604,103494,06/03/2014,05/04/2014,LJ000000A
9010000000,103510,06/03/2016,05/04/2016,LJ000000A
9010110701,103511,06/03/2014,05/04/2014,LJ000000A
9000001004,103531,06/03/2014,05/04/2014,LJ000000A
9000142805,103531,06/03/2014,05/04/2014,LJ000000A
9010110701,103531,06/03/2014,05/04/2014,LJ000000A
9010110701,103531,06/03/2016,05/04/2016,LJ000000A
